Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
7aa656e0-e441-429f-a130-fac35bf3d33d,"2020-03-21, 11:53:21 AM",amitgoswami1027,CreateListener,ElasticLoadBalancingV2 LoadBalancer and 2 more,"[{""resourceType"":""AWS::ElasticLoadBalancingV2::LoadBalancer"",""resourceName"":""arn:aws:elasticloadbalancing:us-east-1:914415844393:loadbalancer/app/awseb-AWSEB-1EHPO8USOTDJ9/ecd6e1e8a70184f0""},{""resourceType"":""AWS::ElasticLoadBalancingV2::Listener"",""resourceName"":""arn:aws:elasticloadbalancing:us-east-1:914415844393:listener/app/awseb-AWSEB-1EHPO8USOTDJ9/ecd6e1e8a70184f0/bc9698975bd3e3a9""},{""resourceType"":""AWS::ElasticLoadBalancingV2::TargetGroup"",""resourceName"":""arn:aws:elasticloadbalancing:us-east-1:914415844393:targetgroup/awseb-AWSEB-XDESSP3F16SG/8c538a9275248e43""}]",,us-east-1,,cloudformation.amazonaws.com
42e9e583-db16-4e32-9e68-3fe965d50738,"2020-03-21, 11:53:04 AM",amitgoswami1027,PutNotificationConfiguration,AutoScaling AutoScalingGroup and 1 more,"[{""resourceType"":""AWS::AutoScaling::AutoScalingGroup"",""resourceName"":""awseb-e-y2stvgdmee-stack-AWSEBAutoScalingGroup-QWZ25Z40SRPV""},{""resourceType"":""AWS::SNS::Topic"",""resourceName"":""arn:aws:sns:us-east-1:567041514487:awseb-healthd-asg-notifications""}]",,us-east-1,,elasticbeanstalk.amazonaws.com
a3ef1fb8-f9d1-46d2-960a-ebbb5ed7f63c,"2020-03-21, 11:53:04 AM",amitgoswami1027,SuspendProcesses,AutoScaling AutoScalingGroup,"[{""resourceType"":""AWS::AutoScaling::AutoScalingGroup"",""resourceName"":""awseb-e-y2stvgdmee-stack-AWSEBAutoScalingGroup-QWZ25Z40SRPV""}]",,us-east-1,,elasticbeanstalk.amazonaws.com
98899fc9-3eca-413b-ab54-dce8c49e9b72,"2020-03-21, 11:52:30 AM",AutoScaling,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06bcfd549eb26b9db""}]",,us-east-1,,autoscaling.amazonaws.com
024f2041-8500-4b87-959b-9346212e5588,"2020-03-21, 11:52:26 AM",ElasticLoadBalancing,DeleteNetworkInterface,EC2 NetworkInterface,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-02c581c45cf42f4b5""}]",,us-east-1,,elasticloadbalancing.amazonaws.com
0bb06336-ec35-4312-8704-b31417a83ead,"2020-03-21, 11:52:18 AM",AutoScaling,DeregisterTargets,EC2 Instance and 1 more,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06bcfd549eb26b9db""},{""resourceType"":""AWS::ElasticLoadBalancingV2::TargetGroup"",""resourceName"":""arn:aws:elasticloadbalancing:us-east-1:914415844393:targetgroup/awseb-AWSEB-K230POXMXSA6/adbd4dcf3baeb4df""}]",,us-east-1,,autoscaling.amazonaws.com
437059a7-d253-4375-87b4-a7a9a533dc9b,"2020-03-21, 11:52:16 AM",ElasticLoadBalancing,DeleteNetworkInterface,EC2 NetworkInterface,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-02c581c45cf42f4b5""}]",,us-east-1,Client.InvalidParameterValue,elasticloadbalancing.amazonaws.com
33fbcca0-b68e-4272-9696-81532abc0aaf,"2020-03-21, 11:52:12 AM",ElasticLoadBalancing,DeleteNetworkInterface,EC2 NetworkInterface,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-07bf5b48e1af10692""}]",,us-east-1,,elasticloadbalancing.amazonaws.com
d6dac9c7-aaf7-495a-8c68-d4c8fce4222f,"2020-03-21, 11:52:12 AM",ElasticLoadBalancing,DeleteNetworkInterface,EC2 NetworkInterface,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-02c581c45cf42f4b5""}]",,us-east-1,Client.InvalidParameterValue,elasticloadbalancing.amazonaws.com
87a532ec-f0c3-4cba-a939-eba6f4097751,"2020-03-21, 11:52:06 AM",ElasticLoadBalancing,DeleteNetworkInterface,EC2 NetworkInterface,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-07bf5b48e1af10692""}]",,us-east-1,Client.InvalidParameterValue,elasticloadbalancing.amazonaws.com
